Country,Year,Homicide_per_100000_Value
montenegro,2010,1.05
montenegro,2009,2.0618817
montenegro,2008,2.23188
montenegro,2007,0.8
montenegro,2005,3.5318
montserrat,2015,0
montserrat,2014,0
montserrat,2013,0
montserrat,2012,0
montserrat,2011,0
montserrat,2010,0
montserrat,2009,255
montserrat,2008,275.48
montserrat,2007,110.82
morocco,2014,0.016
morocco,2013,0.01
morocco,2012,0
morocco,2011,0.03
morocco,2010,0.06
morocco,2009,0.06
morocco,2008,0.05
morocco,2007,0.12
morocco,2002,0.0013
mozambique,NA,NA
myanmar,2002,0.067
myanmar,2001,0.08
namibia,2012,2.685
namibia,2011,1.86
namibia,2010,2.07
namibia,2009,3.32
namibia,2008,3.21
namibia,2002,0.31
namibia,2001,0.36
namibia,2000,1.43
namibia,1999,1.35
namibia,1998,0.77
namibia,1997,0.28
namibia,1996,0.35
namibia,1995,0.71
nauru,NA,NA
nepal,2006,0.30717
nepal,2005,0.41
netherlands,2016,0.1612
netherlands,2015,0.18
netherlands,2014,0.24
netherlands,2013,0.17
netherlands,2012,0.29
netherlands,2011,0.29
netherlands,2010,0.2
netherlands,2009,0.25
netherlands,2008,0.23
netherlands,2007,0.24
netherlands,2006,0.26
netherlands,2005,0.39
netherlands,2004,0.4172116
netherlands,2003,0.46721
netherlands,2002,0.5
netherlands,2001,0.57
netherlands,2000,0.51
netherlands,1999,0.56
netherlands,1998,0.47
netherlands,1997,0.5
netherlands,1996,0.55
netherlands,1994,0.3622
netherlands-antilles,NA,NA
new-caledonia,NA,NA
new-zealand,2015,0.185
new-zealand,2014,0.16
new-zealand,2013,0.2325
new-zealand,2012,0.07
new-zealand,2011,0.09
new-zealand,2010,0.16
new-zealand,2009,0.28
new-zealand,2008,0.17
new-zealand,2007,0.12
new-zealand,2006,0.2
new-zealand,2005,0.2
new-zealand,2004,0.1037
new-zealand,2003,0.1
new-zealand,2002,0.20373
new-zealand,2001,0.2
new-zealand,2000,0.2
new-zealand,1999,0.2
new-zealand,1997,0.3
new-zealand,1996,0.2
new-zealand,1995,0.2
new-zealand,1994,0.5037
new-zealand,1993,0.2
new-zealand,1992,0.4
new-zealand,1991,0.3
new-zealand,1990,0.7
new-zealand,1989,0.5
new-zealand,1988,0.5
nicaragua,2015,1.8317
nicaragua,2014,3.44
nicaragua,2013,3.04
nicaragua,2012,3.42
nicaragua,2011,3.37
nicaragua,2010,3.18
nicaragua,2009,5.14
nicaragua,2008,5.42
nicaragua,2007,4.2
nicaragua,2002,2.8719
niger,NA,NA
nigeria,NA,NA
niue,NA,NA
north-korea,NA,NA
northern-mariana-islands,NA,NA
norway,2015,0.062
norway,2014,0.1
norway,2013,0.06
norway,2012,0.1
norway,2011,1.43
norway,2010,0.04
norway,2009,0.19
norway,2008,0.06
norway,2007,0.04
norway,2006,0.2121
norway,2005,0.11
norway,2004,0.26
norway,2003,0.26
norway,2002,0.35
norway,2001,0.13
norway,2000,0.38
norway,1999,0.31
norway,1998,0.27
norway,1997,0.23
norway,1996,0.27
norway,1995,0.256
norway,1994,0.16
norway,1993,0.32635
norway,1992,0.28
oman,2010,0
pakistan,NA,NA
palau,NA,NA
palestine,2016,3.196
palestine,2015,4.46
palestine,2014,1.92
palestine,2013,1.8
palestine,2012,1.44
palestine,2011,0.82
palestine,2010,0.87
palestine,2009,1.74
palestine,2008,3.64
palestine,2005,2.7912
palestine,2004,2.888
panama,2015,9.3016
panama,2014,12.78
panama,2013,14.81
panama,2012,15.44
panama,2011,17.22
panama,2010,16.8
panama,2009,20.06
panama,2008,15.92
panama,2007,10.37
panama,2006,7.86
panama,2005,6.81
panama,2004,5.821
panama,2003,6.4723
panama,2002,7.1219
papua-new-guinea,NA,NA
paraguay,2014,4.7415
paraguay,2013,5.04
paraguay,2012,4.94
paraguay,2011,5.02
paraguay,2010,5.55
paraguay,2009,5.82
paraguay,2008,6.13
paraguay,2007,6.22
paraguay,2006,9.77112829
paraguay,2005,10.9
paraguay,2000,7.35172918
paraguay,1999,7.5217
paraguay,1998,9.85
peru,2015,0.4817
peru,2014,0.26
peru,2013,0.56
peru,2012,0.3
peru,2011,0.63
peru,2010,0.58
peru,2009,0.61
peru,2008,0.44
peru,2007,0.61
peru,2006,1.92
peru,2005,2.23
peru,2004,2.02124
peru,2002,1.6523
peru,2001,1.66
peru,2000,0.5919
philippines,2011,7.6213
philippines,2010,7.27
philippines,2009,7.52
philippines,2008,7.64
philippines,2007,7.53
philippines,2003,8.916
philippines,2002,3.2423
philippines,2001,3.25
pitcairn,NA,NA
poland,2015,0.0317
poland,2014,0.05
poland,2013,0.06
poland,2012,0.05
poland,2011,0.04
poland,2010,0.02
poland,2009,0.04
poland,2008,0.05
poland,2007,0.09
poland,2006,0.07
poland,2005,0.06
poland,2004,0.071833
poland,2003,0.12
poland,2002,0.2
poland,2001,0.15
poland,2000,0.2118
poland,1999,0.2
poland,1998,0.312933
poland,1997,0.273
poland,1996,0.28
poland,1995,0.27
portugal,2014,0.2418
portugal,2013,0.27
portugal,2012,0.26
portugal,2011,0.18
portugal,2010,0.48
portugal,2009,0.28
portugal,2008,0.41
portugal,2007,0.33
portugal,2006,0.76321
portugal,2005,0.64
portugal,2004,0.721
portugal,2003,0.541121
portugal,2002,0.6411
portugal,2001,0.65
portugal,2000,0.38
portugal,1999,0.6
portugal,1998,0.69
portugal,1997,1.2725
portugal,1996,1.31
portugal,1995,1.33
portugal,1994,1.2827
puerto-rico,2015,15.491
puerto-rico,2014,17.35
puerto-rico,2013,22.18
puerto-rico,2012,23.65
puerto-rico,2011,25.87
puerto-rico,2010,23.35
puerto-rico,2009,22.03
puerto-rico,2008,18.96
puerto-rico,2007,16.31
puerto-rico,2005,18.314
puerto-rico,2001,17.2712
qatar,2014,0.056
qatar,2013,0.2
qatar,2012,0.07
qatar,2011,0.05
qatar,2010,0
qatar,2007,0.16
qatar,2004,0.158
qatar,2003,0.27
qatar,1999,0.189
reunion,NA,NA
romania,2016,0.0311
romania,2015,0.02
romania,2014,0.02
romania,2013,0.02
romania,2012,0.05
romania,2011,0.05
romania,2010,0.04
romania,2009,0.05
romania,2008,0.03
romania,2007,0.05
romania,2006,0.05
romania,2005,0.07
romania,2004,0.091216
romania,2003,0.08
romania,2002,0.1112
romania,2001,0.08
romania,2000,0.1
romania,1999,0.08
russia,2013,0.9014
rwanda,NA,NA
samoa,2004,1.1013
samoa,2002,1.1
san-marino,NA,NA
sao-tome-and-principe,2011,3.341
sao-tome-and-principe,2010,3.41
sao-tome-and-principe,2009,2.91
sao-tome-and-principe,2008,8.31
sao-tome-and-principe,2007,2.43
sao-tome-and-principe,2006,2.48
saudi-arabia,2012,0
saudi-arabia,2009,0.07
senegal,NA,NA
serbia,2015,0.722
serbia,2014,0.71
serbia,2013,1.04
serbia,2012,0.6
serbia,2011,0.67
serbia,2010,0.61
serbia,2009,0.85
serbia,2008,0.81
serbia,2007,1.14
serbia,2006,0.8521271029
serbia,2005,0.6521301029
serbia,2004,0.642131
serbia,2003,0.902132
serbia,2002,0.922133
serbia,2001,1.07
serbia,2000,1.0221
serbia,1999,1.23
serbia,1998,1.35
seychelles,NA,NA
sierra-leone,2008,2.57118
singapore,2015,0
singapore,2014,0
singapore,2013,0
singapore,2012,0
singapore,2011,0.005
singapore,2010,0
singapore,2009,0
singapore,2008,0
singapore,2007,0
singapore,2006,0.02513
singapore,2005,0
singapore,2004,0.0014
singapore,2003,0
singapore,2000,0.0215
singapore,1994,0.0718
slovakia,2014,0.2016
slovakia,2013,0.24
slovakia,2012,0.17
slovakia,2011,0.246
slovakia,2010,0.18
slovakia,2009,0.06
slovakia,2008,0.11
slovakia,2007,0.336
slovakia,2006,0.2962
slovakia,2005,0.2410619
slovakia,2004,0.481019
slovakia,2003,0.43
slovakia,2002,0.431
slovakia,2001,0.37
slovakia,2000,0.63
slovakia,1999,0.8
slovakia,1998,0.56
slovakia,1997,0.74
slovakia,1996,0.54
slovakia,1995,0.34
slovakia,1994,0.45
slovakia,1993,0.9
slovakia,1992,0.96
slovenia,2015,0.051
slovenia,2014,0.38
slovenia,2013,0.43
slovenia,2012,0.19
slovenia,2011,0.57
slovenia,2010,0.05
slovenia,2009,0.14
slovenia,2008,0.19
slovenia,2007,0.44
slovenia,2006,0.15
slovenia,2005,0.5
slovenia,2004,0.71326
slovenia,2003,0.4
slovenia,2002,0.513
slovenia,2001,0.35
slovenia,2000,0.56
slovenia,1999,0.46
slovenia,1998,0.35
slovenia,1997,0.86
slovenia,1996,0.65
slovenia,1995,0.91
slovenia,1994,0.35
slovenia,1993,0.45
slovenia,1992,0.65
slovenia,1991,0.6
slovenia,1990,0.3
solomon-islands,2008,0.06
solomon-islands,2007,0
solomon-islands,2006,0
solomon-islands,2005,0
solomon-islands,2004,0
somalia,NA,NA
south-africa,2017,11.9525
south-africa,2008,10.47
south-africa,2006,18.8283637
south-africa,2005,18.02837
south-africa,2004,19.1
south-africa,2003,20.8
south-africa,2002,22.028
south-africa,2001,22.6
south-africa,2000,24
south-africa,1999,25.4
south-africa,1998,28.5
south-africa,1997,26
south-africa,1996,26.7
south-africa,1995,26.9
south-africa,1994,28.803
south-korea,2015,0.031
south-korea,2014,0.02
south-korea,2013,0.02
south-korea,2012,0.01
south-korea,2011,0.03
south-korea,2010,0.01
south-korea,2009,0.02
south-korea,2008,0.02
south-korea,2007,0.04
south-korea,2006,0.015
south-korea,1994,0.0418
south-sudan,2012,1.993
spain,2015,0.0811
spain,2014,0.13
spain,2013,0.12
spain,2012,0.13
spain,2011,0.12
spain,2010,0.14
spain,2009,0.17
spain,2008,0.17
spain,2007,0.13
spain,2006,0.19
spain,2005,0.17
spain,2004,0.212
spain,2003,0.27
spain,2002,0.25
spain,2001,0.26
spain,2000,0.26122
spain,1999,0.17
spain,1998,0.22
spain,1997,0.2712
spain,1996,0.3823
spain,1995,0.27
spain,1993,0.2126
sri-lanka,2004,1.4411
sri-lanka,2003,0.85
sri-lanka,1997,3.0312
sri-lanka,1996,2.82
sri-lanka,1995,2.48
st-helena,NA,NA
st-kitts-and-nevis,2015,40.432
st-kitts-and-nevis,2014,32.99
st-kitts-and-nevis,2012,25.63
st-kitts-and-nevis,2011,49.69
st-kitts-and-nevis,2010,24.05
st-kitts-and-nevis,2009,12.13
st-kitts-and-nevis,2008,24.46
st-kitts-and-nevis,2007,8.22
st-kitts-and-nevis,2006,26.1
st-kitts-and-nevis,2005,12.2
st-kitts-and-nevis,2004,14.4
st-lucia,2014,10.412
st-lucia,2013,8.6
st-lucia,2012,12.33
st-lucia,2011,18.57
st-lucia,2010,15.54
st-lucia,2009,9.98
st-pierre-and-miquelon,2010,0
st-vincent-and-grenadines,2015,11.693
st-vincent-and-grenadines,2014,29.15
st-vincent-and-grenadines,2013,12.59
st-vincent-and-grenadines,2012,10.62
st-vincent-and-grenadines,2011,3.85
st-vincent-and-grenadines,2010,0
st-vincent-and-grenadines,2009,8.61
st-vincent-and-grenadines,2008,8.391
st-vincent-and-grenadines,2007,18.04
st-vincent-and-grenadines,2006,3.78
st-vincent-and-grenadines,2005,4.71
st-vincent-and-grenadines,2004,14.791
sudan,NA,NA
suriname,2014,1.5714
suriname,2013,1.59
suriname,2012,2.5
suriname,2011,1.08
suriname,2010,1.1
suriname,2009,0.37
suriname,2007,1.92
swaziland,2004,37.1613
sweden,2016,0.2621
sweden,2015,0.32
sweden,2014,0.26
sweden,2013,0.23
sweden,2012,0.17
sweden,2011,0.2
sweden,2010,0.19
sweden,2009,0.24
sweden,2008,0.15
sweden,2007,0.23
sweden,2006,0.14
sweden,2005,0.12
sweden,2004,0.172228
sweden,2003,0.2
sweden,2002,0.18
sweden,2001,0.21
sweden,2000,0.2522
sweden,1999,0.34
sweden,1998,0.28
sweden,1997,0.162228
sweden,1996,0.12
sweden,1995,0.3331
sweden,1993,0.1832
switzerland,2017,0.1715
switzerland,2016,0.2
switzerland,2015,0.2213
switzerland,2014,0.09
switzerland,2013,0.2
switzerland,2012,0.18
switzerland,2011,0.2
switzerland,2010,0.14
switzerland,2009,0.27
switzerland,2008,0.21
switzerland,2007,0.2
switzerland,2006,0.19
switzerland,2005,0.31
switzerland,2004,0.47
switzerland,2003,0.27
switzerland,2002,0.42
switzerland,2001,0.55
switzerland,2000,0.24
switzerland,1999,0.45
switzerland,1998,0.38
switzerland,1997,0.85
switzerland,1996,0.58
switzerland,1995,0.38
switzerland,1994,0.5829
syria,2010,0.616
taiwan,2008,0.69
taiwan,2007,0.7
taiwan,2006,0.7
taiwan,2005,0.8
taiwan,2004,0.9
taiwan,2003,0.8
taiwan,2002,0.7
taiwan,2001,0.6
taiwan,2000,0.5
taiwan,1999,0.6
taiwan,1998,0.5
taiwan,1994,0.1512
tajikistan,2011,0.174
tajikistan,2010,0.24
tajikistan,2009,0.22412
tajikistan,2008,0.12
tajikistan,2007,0.25
tajikistan,2006,0.7541213
tajikistan,2005,0.29
tajikistan,2004,0.412
tanzania,1997,0.5613
tanzania,1996,0.75
tanzania,1995,0.9
thailand,2016,1.521
thailand,2015,1.87
thailand,2014,2.43
thailand,2013,2.7
thailand,2012,2.97
thailand,2011,2.92
thailand,2010,3.4
thailand,2009,2.89
thailand,2008,3.18
thailand,2007,3.66
thailand,1994,3.4811
timor-leste,NA,NA
togo,NA,NA
tokelau,NA,NA
tonga,2012,0.004
tonga,2011,0
tonga,2010,0
tonga,2009,0
tonga,2008,0.95
tonga,2007,0
tonga,2006,0
tonga,2005,0
tonga,1995,1.031
trinidad-and-tobago,2013,20.897
trinidad-and-tobago,2012,23.73
trinidad-and-tobago,2011,21.2615
trinidad-and-tobago,2010,29.71
trinidad-and-tobago,2009,28.05
trinidad-and-tobago,2008,36.38
trinidad-and-tobago,2007,25.79
trinidad-and-tobago,2006,21.95
trinidad-and-tobago,2005,20.7202526
trinidad-and-tobago,2004,13.7
trinidad-and-tobago,1995,3.3817
tunisia,2013,0.049
tunisia,2009,0.02
turkey,2015,0.789
turkey,2014,0.9
turkey,2013,0.99
turkey,2012,0.68
turkey,2011,0.63
turkey,2010,0.77
turkey,2009,0.68
turkey,2006,0.76516
turkey,2005,0.7
turkey,2004,0.7717
turkey,2003,0.76
turkmenistan,2006,0.101
turkmenistan,2005,0.1
turkmenistan,2004,0.0911
turkmenistan,2003,0.09
turks-and-caicos,2014,2.044
turks-and-caicos,2013,4.19
tuvalu,NA,NA
uganda,2010,1.905
uganda,2009,1.17512
uganda,2008,1.23
uganda,2007,0.83
uganda,2006,1.36
uganda,2005,1.205
uganda,2004,1.4214
uganda,2003,1.25
ukraine,2013,0.202
ukraine,2009,0.24512
ukraine,2008,0.16
ukraine,2007,0.17
ukraine,2006,0.19513
ukraine,2005,0.26
ukraine,2004,0.2214
ukraine,2003,0.31
ukraine,2000,0.3515
ukraine,1999,0.4
ukraine,1998,0.44
ukraine,1997,0.5016
ukraine,1996,0.49
ukraine,1995,0.49
united-arab-emirates,NA,NA
uruguay,2015,4.9718
uruguay,2014,4.17
uruguay,2013,3.79
uruguay,2012,3.95
uruguay,2011,2.96
uruguay,2010,2.57
uruguay,2009,2.64
uruguay,2008,1.7
uruguay,2007,1.92
uruguay,2006,3.11
uruguay,2005,3.22932
uruguay,2004,2.8212932
uruguay,2003,2.6
uruguay,2002,3.3
uruguay,2001,5.5
uruguay,2000,2.5
uruguay,1999,2.6328
uruguay,1998,2.28
uzbekistan,2014,0.036
uzbekistan,2013,0.08
uzbekistan,2012,0.01
uzbekistan,2011,0.04
uzbekistan,2010,0.05
uzbekistan,2009,0.06
uzbekistan,2005,0.58
uzbekistan,2004,0.05
vanuatu,NA,NA
vatican,NA,NA
venezuela,2013,26.4814
venezuela,2012,30.39
venezuela,2011,27.23
venezuela,2010,28.26
venezuela,2009,30.51
venezuela,2008,34.04
venezuela,2007,30.89
venezuela,2000,23.01918
vietnam,2006,1.012
vietnam,2005,0.9
vietnam,1995,0.107
virgin-islands-uk,2015,5.983
virgin-islands-uk,2014,9.18
virgin-islands-uk,2013,3.13
virgin-islands-uk,2012,6.42
virgin-islands-uk,2011,3.29
virgin-islands-uk,2010,0
virgin-islands-uk,2009,3.46
virgin-islands-uk,2008,31.94
virgin-islands-uk,2007,21.85
virgin-islands-uk,2006,15
virgin-islands-uk,2005,11.6
virgin-islands-us,2015,32.494
virgin-islands-us,2014,20.1612
virgin-islands-us,2013,13.37
virgin-islands-us,2012,39.74
virgin-islands-us,2011,35.09
virgin-islands-us,2010,44.3
virgin-islands-us,2009,42.43
virgin-islands-us,2008,38.75
virgin-islands-us,2007,32.31
wallis-and-futuna,NA,NA
western-sahara,NA,NA
yemen,NA,NA
zambia,2010,0.41
zambia,2009,0.2
zambia,2008,0.3
zambia,2007,0.3
zambia,2006,0.3
zambia,2005,0.3
zambia,2004,0.3
zimbabwe,2007,0.313
zimbabwe,2006,0.3
zimbabwe,2005,0.3
zimbabwe,2004,0.3
zimbabwe,2000,4.7515
zimbabwe,1999,4.81
zimbabwe,1998,4.61
