Country,ABV,Continente,HomMed,Import_Dolar
Albania,ALB,Europa,2.3692,4103000000
Andorra,AND,Europa,0.004666666666666667,1257000000
Antigua-And-Barbuda,ATG,America_do_Norte,2.512,560000000
Argentina,ARG,America_do_Sul,2.485957142857143,63970000000
Armenia,ARM,Asia,0.29600000000000004,3771000000
Australia,AUS,Oceania,0.1637,221000000000
Austria,AUT,Europa,0.1401375,158100000000
Azerbaijan,AZE,Asia,0.275,9037000000
Bahamas,BHS,America_do_Norte,29.101166666666668,3180000000
Bahrain,BHR,Asia,0.061200000000000004,16080000000
Barbados,BRB,America_do_Norte,1.2622,1520000000
Belarus,BLR,Europa,0.123305,31580000000
Belgium,BEL,Europa,0.2617714285714286,300400000000
Belize,BLZ,America_do_Norte,20.573014285714287,845900000
Bermuda,BMU,America_do_Norte,4.113833333333333,1094000000
Bolivia,BOL,America_do_Sul,0.748,8601000000
Bosnia-And-Herzegovina,BIH,Europa,0.49688,9547000000
Brazil,BRA,America_do_Sul,19.717585714285715,153200000000
Brunei,BRN,Asia,0,2998000000
Bulgaria,BGR,Europa,0.3552,31430000000
Canada,CAN,America_do_Norte,0.5107111111111111,442100000000
Chile,CHL,America_do_Sul,1.6417714285714287,61310000000
Colombia,COL,America_do_Sul,26.9846,44240000000
Congo-Drc,COD,Africa,1.3555000000000001,10820000000
Costa-Rica,CRI,America_do_Norte,6.083616666666667,15150000000
Croatia,HRV,Europa,0.36265000000000003,22340000000
Cuba,CUB,America_do_Norte,0.2187714285714286,11060000000
Cyprus,CYP,Asia,0.466375,7935000000
Czech-Republic,CZE,Europa,0.1352625,134700000000
Denmark,DNK,Europa,0.14444285714285715,94930000000
Dominica,DMA,America_do_Norte,3.3232857142857144,206600000
Dominican-Republic,DOM,America_do_Norte,8.24834,17700000000
Ecuador,ECU,America_do_Sul,6.795957142857143,19310000000
Egypt,EGY,Africa,0.11957142857142856,59780000000
El-Salvador,SLV,America_do_Norte,39.16866666666667,9499000000
Estonia,EST,Europa,0.34851666666666664,14420000000
Fiji,FJI,Oceania,0,1911000000
