Country,ABV,Continente,HomMed,PIB_PORCENTO,US_Dollar,Population,Inv_per_cap
Norway,NOR,Europa,0.28314285714285714,7.7,381200000000,5372191,5463.767017963434
Oman,OMN,Asia,0,6.2,190100000000,3494116,3373.15647219497
Palestine,PSE,Asia,2.03075,5.7,21220000000,2798494,432.21103922323937
Panama,PAN,America_do_Norte,15.201657142857142,3.2,104100000000,3800644,876.4830381377471
Paraguay,PRY,America_do_Sul,5.18525,5,88910000000,7025763,632.7426643910419
Peru,PER,America_do_Sul,0.4888142857142857,3.8,430300000000,31331228,521.888257938693
Philippines,PHL,Asia,7.470433333333333,2.7,877200000000,105893381,223.66270465951035
Poland,POL,Europa,0.041671428571428575,4.9,1126000000000,38420687,1436.0492825128297
Portugal,PRT,Europa,0.2853,5.1,314100000000,10355493,1546.9181428638885
Puerto-Rico,PRI,America_do_Norte,21.417285714285715,6,130000000000,3294626,2367.4917881422657
Qatar,QAT,Asia,0.0752,3.6,339500000000,2363569,5170.993527161679
Romania,ROU,Europa,0.0351375,3.1,483400000000,21457116,698.3883575034035
Russia,RUS,Asia,0.9014,3.8,4016000000000,142122776,1073.7758176071652
Sao-Tome-And-Principe,STP,Africa,3.2203333333333335,3.7,686000000,204454,124.145284513876
Saudi-Arabia,SAU,Asia,0.035,5.1,1775000000000,33091113,2735.6287472107692
Serbia,SRB,Europa,0.7431428571428571,4,105700000000,7078110,597.3345992079807
Singapore,SGP,Asia,7.142857142857143e-4,2.9,528100000000,5995991,2554.1899579235524
Slovakia,SVK,Europa,0.18293333333333334,4.6,179700000000,5445040,1518.1155693989392
Slovenia,SVN,Europa,0.25871428571428573,5.3,71230000000,2102126,1795.891397566083
South-Africa,ZAF,Africa,11.9525,5.9,767200000000,55380210,817.3461241840722
South-Korea,KOR,Asia,0.020142857142857143,5.1,2035000000000,51418097,2018.4527638197112
South-Sudan,SSD,Africa,1.993,1.8,20010000000,10204581,35.29591268862485
Spain,ESP,Europa,0.1273,4.3,1778000000000,49331076,1549.814157712676
St-Kitts-And-Nevis,KNA,America_do_Norte,30.820333333333334,2.8,1550000000,53094,817.4181640109992
St-Lucia,LCA,America_do_Norte,12.572,5.7,2542000000,165510,875.4395504803335
Sweden,SWE,Europa,0.2340125,7.7,518000000000,10040995,3972.3154926379307
Switzerland,CHE,Europa,0.18586666666666668,5.1,523100000000,8292809,3217.0160918935912
Syria,SYR,Asia,0.616,5.1,50280000000,19454263,131.81069876561244
Tajikistan,TJK,Asia,0.21270666666666666,5.2,28430000000,8604882,171.8047963934892
Thailand,THA,Asia,2.587625,4.1,1236000000000,68615858,738.5464741984279
Tunisia,TUN,Africa,0.0345,6.6,137700000000,11516189,789.1673191539319
Turkey,TUR,Europa,0.777,4.4,2186000000000,81257239,1183.6976149288066
Turks-And-Caicos,TCA,America_do_Norte,3.117,3.3,632000000,53701,388.37265600268154
Uganda,UGA,Africa,1.54006,2.3,89190000000,40853749,50.212527618946304
Ukraine,UKR,Europa,0.22356,5.9,369600000000,43952299,496.13786983019935
United-Kingdom,GBR,Europa,0.03181428571428571,5.6,2925000000000,65105246,2515.9262895650522
United-States,USA,America_do_Norte,3.8391555555555557,5,19490000000000,329256465,2959.698908265932
Uruguay,URY,America_do_Sul,3.5788285714285712,4.4,78160000000,3369299,1020.6989643839862
Venezuela,VEN,America_do_Sul,28.57428,6.9,381600000000,31689176,830.8956976350538
Virgin-Islands-Uk,VGB,America_do_Norte,4.494714285714285,6.3,500000000,35802,879.8391151332328
Zambia,ZMB,Africa,0.305,1.1,68930000000,16445079,46.1068019192854
