Country,Railways
Denmark,"total:
          3,476 km
          
          (2017)
        
        
          standard gauge:
          3,476 km
          1.435-m gauge (1,756 km electrified)
          (2017)"
Djibouti,"total:
          97 km
          (Djibouti segment of the 756 km Addis Ababa-Djibouti railway)
          (2017)
        
        
          standard gauge:
          97 km
          1.435-m gauge
          (2017)"
Dominican Republic,"total:
          496 km
          
          (2014)
        
        
          standard gauge:
          354 km
          1.435-m gauge
          (2014)
        
        
          narrow gauge:
          142 km
          0.762-m gauge
          (2014)"
Ecuador,"total:
          965 km
          
          (2017)
        
        
          narrow gauge:
          965 km
          1.067-m gauge
          (2017)
        

  

    
      note: passenger service limited to certain sections of track, mostly for tourist trains"
Egypt,"total:
          5,085 km
          
          (2014)
        
        
          standard gauge:
          5,085 km
          1.435-m gauge (62 km electrified)
          (2014)"
El Salvador,"total:
          13 km
          
          (2014)
        
        
          narrow gauge:
          12.5 km
          0.914-m gauge
          (2014)"
Eritrea,"total:
          306 km
          
          (2014)
        
        
          narrow gauge:
          306 km
          0.950-m gauge
          (2014)"
Estonia,"total:
          2,146 km
          
          (2016)
        
        
          broad gauge:
          2,146 km
          1.520-m and 1.524-m gauge (132 km electrified)
          (2016)
        

  

    
      note: includes 1,510 km public and 636 km non-public railway"
Eswatini,"total:
          301 km
          
          (2014)
        
        
          narrow gauge:
          301 km
          1.067-m gauge
          (2014)"
Ethiopia,"total:
          659 km
          (Ethiopian segment of the 756 km Addis Ababa-Djibouti railroad)
          (2017)
        
        
          standard gauge:
          659 km
          1.435-m gauge
          (2017)
        

  

    
      note: electric railway with redundant power supplies; under joint control of Djibouti and Ethiopia and managed by a Chinese contractor"
European Union,"total:
          230,548 km
          (2013)"
Fiji,"total:
          597 km
          
          (2008)
        
        
          narrow gauge:
          597 km
          0.600-m gauge
          (2008)
        

  

    
      note: belongs to the government-owned Fiji Sugar Corporation; used to haul sugarcane during the harvest season, which runs from May to December"
Finland,"total:
          5,926 km
          
          (2016)
        
        
          broad gauge:
          5,926 km
          1.524-m gauge (3,270 km electrified)
          (2016)"
France,"total:
          29,640 km
          
          (2014)
        
        
          standard gauge:
          29,473 km
          1.435-m gauge (15,561 km electrified)
          (2014)
        
        
          narrow gauge:
          167 km
          1.000-m gauge (63 km electrified)
          (2014)"
Gabon,"total:
          649 km
          
          (2014)
        
        
          standard gauge:
          649 km
          1.435-m gauge
          (2014)"
Georgia,"total:
          1,363 km
          
          (2014)
        
        
          narrow gauge:
          37 km
          0.912-m gauge (37 km electrified)
          (2014)
        
        
          broad gauge:
          1,326 km
          1.520-m gauge (1,251 km electrified)
          (2014)"
Germany,"total:
          33,590 km
          
          (2015)
        
        
          standard gauge:
          33,331 km
          1.435-m gauge (19,973 km electrified)
          (2015)
        
        
          narrow gauge:
          220 km
          1.000-m gauge (79 km electrified)
          (2015)
        

  

    
      15 0.900-m gauge
24 0.750-m gauge"
Ghana,"total:
          947 km
          
          (2014)
        
        
          narrow gauge:
          947 km
          1.067-m gauge
          (2014)"
Greece,"total:
          2,548 km
          
          (2014)
        
        
          standard gauge:
          1,565 km
          1.435-m gauge (764 km electrified)
          (2014)
        
        
          narrow gauge:
          961 km
          1.000-m gauge
          (2014)
        

  

    
      22 0.750-m gauge"
Guatemala,"total:
          800 km
          
          (2018)
        
        
          narrow gauge:
          800 km
          0.914-m gauge
          (2018)
        

  

    
      note: despite the existence of a railway network, all rail service was suspended in 2007 and no passenger or freight train currently runs in the country (2018)"
Guinea,"total:
          1,086 km
          
          (2017)
        
        
          standard gauge:
          279 km
          1.435-m gauge
          (2017)
        
        
          narrow gauge:
          807 km
          1.000-m gauge
          (2017)"
Honduras,"total:
          699 km
          
          (2014)
        
        
          narrow gauge:
          164 km
          1.067-m gauge
          (2014)
        

  

    
      115 1.057-m gauge
420 0.914-m gauge"
Hungary,"total:
          8,049 km
          
          (2014)
        
        
          standard gauge:
          7,794 km
          1.435-m gauge (2,889 km electrified)
          (2014)
        
        
          narrow gauge:
          219 km
          0.760-m gauge
          (2014)
        
        
          broad gauge:
          36 km
          1.524-m gauge
          (2014)"
India,"total:
          68,525 km
          
          (2014)
        
        
          narrow gauge:
          9,499 km
          1.000-m gauge
          (2014)
        
        
          broad gauge:
          58,404 km
          1.676-m gauge (23,654 electrified)
          (2014)
        

  

    
      622 0.762-m gauge"
Indonesia,"total:
          8,159 km
          
          (2014)
        
        
          narrow gauge:
          8,159 km
          1.067-m gauge (565 km electrified)
          (2014)
        

  

    
      note: 4,816 km operational"
