Rank,Country,X.deaths.1.000.population.,Date.of.Information
177,Colombia,5.5,2018 est.
178,Wallis and Futuna,5.5,2018 est.
179,Bangladesh,5.4,2018 est.
180,Mexico,5.4,2018 est.
181,Samoa,5.4,2018 est.
182,Sint Maarten,5.4,2018 est.
183,Uzbekistan,5.4,2018 est.
184,French Polynesia,5.3,2018 est.
185,Honduras,5.3,2018 est.
186,Iran,5.3,2018 est.
187,Venezuela,5.3,2018 est.
188,British Virgin Islands,5.2,2018 est.
189,Israel,5.2,2018 est.
190,Malaysia,5.2,2018 est.
191,Nicaragua,5.2,2018 est.
192,Ecuador,5.1,2018 est.
193,Lebanon,5.1,2018 est.
194,Guatemala,5,2018 est.
195,Panama,5,2018 est.
196,Falkland Islands (Islas Malvinas),4.9,2012 est.
197,Morocco,4.9,2018 est.
198,Northern Mariana Islands,4.9,2018 est.
199,Tonga,4.9,2018 est.
200,Costa Rica,4.8,2018 est.
201,Paraguay,4.8,2018 est.
202,Anguilla,4.7,2018 est.
203,Macau,4.6,2018 est.
204,Egypt,4.5,2018 est.
205,Algeria,4.3,2018 est.
206,Belize,4.2,2018 est.
207,Marshall Islands,4.2,2018 est.
208,"Micronesia, Federated States of",4.2,2018 est.
209,Maldives,4,2018 est.
210,Syria,4,2018 est.
211,Vanuatu,4,2018 est.
212,Iraq,3.8,2018 est.
213,Solomon Islands,3.8,2018 est.
214,Brunei,3.7,2018 est.
215,Libya,3.7,2018 est.
216,Singapore,3.5,2018 est.
217,West Bank,3.5,2018 est.
218,Jordan,3.4,2018 est.
219,Oman,3.3,2018 est.
220,Saudi Arabia,3.3,2018 est.
221,Turks and Caicos Islands,3.3,2018 est.
222,Gaza Strip,3,2018 est.
223,Bahrain,2.8,2018 est.
224,Kuwait,2.3,2018 est.
225,United Arab Emirates,1.7,2018 est.
226,Qatar,1.6,2018 est.
