Country,GunMed,GunDes,GunQTD,HomMed,HomDes,HomQTD,ABV,Continente,rankGun,rankHom
denmark,9.901,NaN,1,0.14444285714285715,0.06251804691827945,7,DNK,Europa,72.5,32
dominica,6.201,NaN,1,3.3232857142857144,1.9184582971999256,7,DMA,America_do_Norte,48.5,100
dominican-republic,6.662,1.045103822593717,2,8.24834,3.1775236077801217,5,DOM,America_do_Norte,52,112
ecuador,2.4625,0.0869741340859455,2,6.795957142857143,2.892942114789684,7,ECU,America_do_Sul,21,110
egypt,4.101,NaN,1,0.11957142857142856,0.06731482536771313,7,EGY,Africa,35,27
el-salvador,10.862,1.6093750339805821,2,39.16866666666667,10.739804219196301,6,SLV,America_do_Norte,79,129
estonia,5,NaN,1,0.34851666666666664,0.21884698231108113,6,EST,Europa,39,62
fiji,0.501,NaN,1,0,0,2,FJI,Oceania,6,2.5
finland,31.34098666666667,2.027686583408131,3,0.28034285714285717,0.0775939614734475,7,FIN,Europa,122,52
france,17.283,3.278147037580834,2,0.1936,0.0360577314871582,6,FRA,Europa,104,37
french-guiana,19.601,NaN,1,3.29075,1.746137332323358,4,GUF,America_do_Sul,111,99
georgia,10.101,NaN,1,5.197555555555556,0.7485444394141056,9,GEO,Asia,75,108
germany,31.749000000000002,0.4652762620207491,2,0.06882857142857143,0.01327676093602581,7,DEU,Europa,124,22
greece,17.601,NaN,1,0.46208571428571427,0.1554817720138648,7,GRC,Europa,105,66
grenada,4.601,NaN,1,0.2636671428571429,0.6964206142055792,7,GRD,America_do_Norte,36.5,49
guadeloupe,8.501,NaN,1,2.3565,0.326265229529596,4,GLP,America_do_Norte,65.5,91
guam,11.501,NaN,1,2.036,3.2890440353796824,4,GUM,Oceania,80,90
guatemala,11.83867,0.37099064381733454,2,25.575985714285714,6.206957719749823,7,GTM,America_do_Norte,82,121
guyana,18.1125,3.268954649425409,2,4.6583,2.23885393672745,5,GUY,America_do_Sul,107,106
honduras,11.760666666666667,2.1304605918282875,3,53.2672,16.374994302289085,10,HND,America_do_Norte,81,130
hong-kong,3.601,NaN,1,0.00824,0.017761981871401624,5,HKG,Asia,33,10
hungary,10.501,NaN,1,0.0776375,0.03182667064406383,8,HUN,Europa,77.5,24
iceland,31.701,NaN,1,0.039177125,0.10902947052640337,8,ISL,Europa,123,17
india,5.301,NaN,1,0.25409000000000004,1.272792206135881e-4,2,IND,Asia,41,46
iran,7.301,NaN,1,0.48200000000000004,0.08551023330572781,3,IRN,Asia,53,68
ireland,5.54887,2.3364646528034614,2,0.3053666666666667,0.11843650901080574,6,IRL,Europa,44,58
israel,5.43887,1.7849213634779544,2,0.8773857142857143,0.17052617031384001,7,ISR,Asia,43,78
italy,12.895,NaN,1,0.3159142857142857,0.04637008477353434,7,ITA,Europa,87,59
jamaica,7.712,1.5400785694243004,2,25.892116666666666,14.247749513578158,6,JAM,America_do_Norte,55,122
japan,0.301,NaN,1,0.004285714285714286,0.005345224838248488,7,JPN,Asia,2,8
jordan,17.9325,1.0868231226837228,2,1.21725,0.1442575821230898,4,JOR,Asia,106,80
kazakhstan,2.0620000000000003,1.0451038225937175,2,0.4828142857142857,0.13395238493050965,7,KAZ,Asia,16.5,69
kuwait,16.701,NaN,1,0.24783333333333332,0.12162305154314566,6,KWT,Asia,101.5,44
kyrgyzstan,2.801,NaN,1,0.3412857142857143,0.13805157766298107,7,KGZ,Asia,25,61
latvia,10.501,NaN,1,0.2730571428571429,0.14611669830587304,7,LVA,Europa,77.5,50
liberia,2.101,NaN,1,0.445,0.06363961030678926,2,LBR,Africa,18,65
liechtenstein,28.801,NaN,1,0.0026666666666666666,0.004618802153517006,3,LIE,Europa,117,7
lithuania,8.28387,7.5195573589008555,2,0.2451875,0.1067687546255257,8,LTU,Europa,61,43
luxembourg,18.901,NaN,1,0.08344285714285715,0.09726530483070273,7,LUX,Europa,109,25
macedonia,29.801,NaN,1,0.73232,0.25672731058459675,5,MKD,Europa,119,74
malaysia,0.5212,NaN,1,0.04123333333333334,0.04037870726013897,9,MYS,Asia,7,18
maldives,6.201,NaN,1,0,0,2,MDV,Asia,48.5,2.5
malta,28.301,NaN,1,0.3361657142857143,0.32453639584578403,7,MLT,Europa,116,60
martinique,8.501,NaN,1,1.6143333333333334,1.2427454821214734,3,MTQ,America_do_Norte,65.5,85
mauritius,8.301,NaN,1,0.098,0.05745723047044065,7,MUS,Africa,62,26
mexico,9.532632,6.380436320368067,3,11.3781,3.553046157072226,8,MEX,America_do_Norte,71,113
moldova,3,NaN,1,0.29512499999999997,0.08454151558342714,8,MDA,Europa,26,55
mongolia,7.901,NaN,1,0.251525,0.10509917142077446,4,MNG,Asia,56,45
montenegro,39.101,NaN,1,1.910670425,0.596702631946647,4,MNE,Europa,128.5,87
montserrat,5.401,NaN,1,36.42857142857143,96.38094061735293,7,MSR,America_do_Norte,42,128
morocco,4.801,NaN,1,0.029333333333333333,0.025664502073226875,6,MAR,Africa,38,12
namibia,15.401,NaN,1,2.48375,0.6582979948321276,4,NAM,Africa,94,93
netherlands,2.601,NaN,1,0.22265,0.05210053468329968,8,NLD,Europa,22.5,40
new-zealand,29.7,NaN,1,0.16821428571428573,0.0739469726351577,7,NZL,Oceania,118,34
nicaragua,6.5120000000000005,1.854033980271128,2,3.345957142857143,0.9701907438868963,7,NIC,America_do_Norte,51,101
norway,28.04887,1.063672446667675,2,0.28314285714285714,0.5080772344737325,7,NOR,Europa,115,53
oman,16.701,NaN,1,0,NaN,1,OMN,Asia,101.5,2.5
palestine,1.101,NaN,1,2.03075,1.22889912988356,8,PSE,Asia,11.5,89
panama,11.862,1.500480589677854,2,15.201657142857142,3.442799329449386,7,PAN,America_do_Norte,83,116
paraguay,16.0625,0.9029753595752219,2,5.18525,0.41022356709482205,6,PRY,America_do_Sul,97,107
peru,2.262,0.3705239533417509,2,0.4888142857142857,0.150587210928545,7,PER,America_do_Sul,19,70
philippines,3.09,NaN,1,7.470433333333333,0.1808191453727546,3,PHL,Asia,27,111
poland,1.99887,0.7101190560744022,2,0.041671428571428575,0.01322456228459179,7,POL,Europa,15,19
portugal,22.762,2.0661660146270924,2,0.2853,0.10177494780150957,6,PRT,Europa,113,54
puerto-rico,15.7605,6.023842668928198,2,21.417285714285715,3.6780404526634247,7,PRI,America_do_Norte,96,119
qatar,16.701,NaN,1,0.0752,0.07460026809603301,5,QAT,Asia,101.5,23
romania,2.601,NaN,1,0.0351375,0.014091835275384518,8,ROU,Europa,22.5,16
russia,12.301,NaN,1,0.9014,NaN,1,RUS,Asia,85,79
sao-tome-and-principe,3.401,NaN,1,3.2203333333333335,0.27096186693579843,3,STP,Africa,30,98
saudi-arabia,16.701,NaN,1,0.035,0.04949747468305833,2,SAU,Asia,101.5,15
serbia,39.101,NaN,1,0.7431428571428571,0.1552711913303394,7,SRB,Europa,128.5,75
singapore,0.31,NaN,1,7.142857142857143e-4,0.001889822365046136,7,SGP,Asia,3,5
slovakia,6.501,NaN,1,0.18293333333333334,0.0676327336921011,6,SVK,Europa,50,35
slovenia,15.601,NaN,1,0.25871428571428573,0.20267767044062376,7,SVN,Europa,95,47
south-africa,8.158750000000001,2.181070866569906,2,11.9525,NaN,1,ZAF,Africa,59,114
south-korea,0.201,NaN,1,0.020142857142857143,0.008375133261199916,7,KOR,Asia,1,11
south-sudan,18.917,13.174813547067753,2,1.993,NaN,1,SSD,Africa,110,88
spain,7.501,NaN,1,0.1273,0.02658376697660937,7,ESP,Europa,54,29
st-kitts-and-nevis,3.401,NaN,1,30.820333333333334,13.230732733551331,6,KNA,America_do_Norte,30,126
st-lucia,3.401,NaN,1,12.572,3.794850194671721,6,LCA,America_do_Norte,30,115
suriname,15.1125,1.1151073939311855,2,1.3685666666666667,0.7103308571832331,6,SUR,America_do_Sul,93,83
sweden,21.96887,1.6010736003694523,2,0.2340125,0.04796071122730115,8,SWE,Europa,112,42
switzerland,34.795,NaN,1,0.18586666666666668,0.05058183962649046,9,CHE,Europa,127,36
syria,8.201,NaN,1,0.616,NaN,1,SYR,Asia,60,73
tajikistan,0.401,NaN,1,0.21270666666666666,0.034448485211012306,3,TJK,Asia,4.5,38
thailand,15.11,NaN,1,2.587625,0.6208537756302088,8,THA,Asia,92,96
tonga,8,NaN,1,0.001,0.002,4,TON,Oceania,57,6
trinidad-and-tobago,2.7119999999999997,0.6915504320004436,2,24.7297,3.9857615583474137,5,TTO,America_do_Norte,24,120
tunisia,1.101,NaN,1,0.0345,0.02050609665440988,2,TUN,Africa,11.5,14
turkey,16.501,NaN,1,0.777,0.12981910491141124,7,TUR,Europa,98,77
turks-and-caicos,3.301,NaN,1,3.117,1.5174511524263312,2,TCA,America_do_Norte,28,97
