VetorTexto
CompareRate of Civilian Firearm Possession per 100 PopulationThe estimated rate of private gun ownership (both licit and illicit) per 100 people in Cabo Verde is 2007: 5.41
"CompareGun HomicidesChartIn Cabo Verde, annual firearm homicides total 2012: 2752011: 29 CompareRate of Gun Homicide per 100,000 PeopleChartIn Cabo Verde, the annual rate of firearm homicide per 100,000 population is 2012: 5.1652011: 5.62"
"CompareRate of Male Gun Homicide per 100,000 PeopleChartIn Cabo Verde, the annual rate of male firearm homicide per 100,000 population is 2012: 10.6552011: 10.80"
"CompareRate of Female Gun Homicide per 100,000 PeopleIn Cabo Verde, the annual rate of female firearm homicide per 100,000 population is 2011: 0.755"
